Date,Category,Activity,Value,Unit
2026-02-28,Exercise,Garmin Sync,366.0,kcal
2026-03-01,Exercise,Garmin Sync,365.0,kcal
2026-03-02,Exercise,Garmin Sync,535.0,kcal
2026-03-03,Exercise,Garmin Sync,762.0,kcal
2026-03-04,Exercise,Garmin Sync,145.0,kcal
2026-03-05,Exercise,Garmin Sync,118.0,kcal
2026-03-06,Exercise,Garmin Sync,579.0,kcal
2026-03-07,Exercise,Garmin Sync,971.0,kcal
2026-03-08,Exercise,Garmin Sync,131.0,kcal
2026-03-09,Exercise,Garmin Sync,498.0,kcal
2026-03-10,Exercise,Garmin Sync,829.0,kcal
2026-03-11,Exercise,Garmin Sync,26.0,kcal
2026-03-12,Exercise,Garmin Sync,830.0,kcal
2026-03-14,Exercise,Garmin Sync,4.0,kcal
